Nombre,Posición,Duración,Alineación,Evento,Jugada,Resultado
Acción de ataque (33),1330920,6040,Jugador_14 (ld);Jugador_1 (c);Jugador_7 (li);Jugador_6 (ei);Jugador_9 (pi),Acción de ataque,Jugada_27,Gol
Acción de ataque (47),1732000,15200,Jugador_14 (ld);Jugador_3 (c);Jugador_9 (pi);Jugador_7 (li);Jugador_13 (ei),Acción de ataque,Jugada_19,Gol
Acción de ataque (46),1673640,12800,Jugador_14 (ld);Jugador_3 (c);Jugador_9 (pi);Jugador_7 (li),Acción de ataque,Jugada_61,Pérdida
Acción de ataque (45),1652840,14000,Jugador_14 (ld);Jugador_3 (c);Jugador_9 (pi);Jugador_7 (li),Acción de ataque,Jugada_23,Nada
Acción de ataque (54),5338960,8000,Jugador_14 (ld);Jugador_3 (c);Jugador_9 (pi);Jugador_1 (li);Jugador_13 (ei),Acción de ataque,Jugada_69,Gol
Acción de ataque (48),1877280,11200,Jugador_14 (ld);Jugador_3 (c);Jugador_9 (pi);Jugador_1 (li),Acción de ataque,Jugada_44,Nada
Acción de ataque (62),1058720,6000,Jugador_14 (ld);Jugador_16 (li);Jugador_9 (pi);Jugador_15 (ei);Jugador_13 (c),Acción de ataque,Jugada_73,Gol
Acción de ataque (40),1155920,6480,Jugador_14 (ld),Acción de ataque,Jugada_78,Pérdida
Acción de ataque (47),1743960,28040,Jugador_14 (ld),Acción de ataque,Jugada_78,Nada
Acción de ataque (54),2116360,4560,Jugador_14 (ld),Acción de ataque,Jugada_78,Gol
Acción de ataque (10),258200,6400,Jugador_14 (ld),Acción de ataque,Jugada_78,Gol
Acción de ataque (90),594480,18000,Jugador_9 (pi);Jugador_10 (ed);Jugador_2 (ld);Jugador_1 (c);Jugador_12 (pi);Jugador_7 (li),Acción de ataque,Jugada_19,Nada
Acción de ataque (53),971800,12880,Jugador_9 (pi);Jugador_13 (c);Jugador_14 (ld);Jugador_7 (li),Acción de ataque,Jugada_44,Pérdida
Acción de ataque (41),1907520,10400,Jugador_9 (pi);Jugador_13 (c);Jugador_2 (ld);Jugador_7 (li);Jugador_6 (ei),Acción de ataque,Jugada_69,Pérdida
Acción de ataque (40),1815920,17600,Jugador_9 (pi);Jugador_13 (c);Jugador_2 (ld);Jugador_7 (li);Jugador_6 (ei),Acción de ataque,Jugada_46,Gol
Acción de ataque (20),2586800,14080,Jugador_9 (pi);Jugador_14 (ld);Jugador_3 (c);Jugador_10 (ed);Jugador_1 (li),Acción de ataque,Jugada_20,Nada
Acción de ataque (24),2863680,12080,Jugador_9 (pi);Jugador_14 (ld);Jugador_3 (c);Jugador_1 (li),Acción de ataque,Jugada_20,Pérdida
Acción de ataque (22),2644160,6800,Jugador_9 (pi);Jugador_14 (ld);Jugador_3 (c);Jugador_1 (li),Acción de ataque,Jugada_66,Pérdida
Acción de ataque (19),2562000,21200,Jugador_9 (pi);Jugador_14 (ld);Jugador_3 (c);Jugador_1 (li),Acción de ataque,Jugada_24,Nada
Acción de ataque (23),2816960,6160,Jugador_9 (pi);Jugador_14 (ld);Jugador_3 (c);Jugador_1 (li),Acción de ataque,Jugada_50,Gol
Acción de ataque (18),2470800,19120,Jugador_9 (pi);Jugador_14 (ld);Jugador_3 (c);Jugador_1 (li),Acción de ataque,Jugada_44,Gol
Acción de ataque (26),3027840,6000,Jugador_9 (pi);Jugador_14 (ld);Jugador_3 (c);Jugador_1 (li),Acción de ataque,Jugada_26,Gol
Acción de ataque (28),3867400,10720,Jugador_9 (pi);Jugador_14 (ld);Jugador_3 (c);Jugador_1 (li),Acción de ataque,Jugada_69,Gol
Acción de ataque (29),4053200,7920,Jugador_9 (pi);Jugador_14 (ld);Jugador_3 (c);Jugador_1 (li),Acción de ataque,Jugada_46,Gol
Acción de ataque (16),2390800,15200,Jugador_9 (pi);Jugador_14 (ld);Jugador_3 (c);Jugador_15 (ei);Jugador_1 (li),Acción de ataque,Jugada_69,Pérdida
